Date,Close
12/1/2003,9.1256
12/2/2003,9.1141
12/3/2003,9.0376
12/4/2003,9.0166
12/5/2003,8.983
12/8/2003,8.98
12/9/2003,8.9511
12/10/2003,8.9587
12/11/2003,8.98
12/12/2003,8.97
12/15/2003,8.9
12/16/2003,8.8975
12/17/2003,8.85
12/18/2003,8.83
12/19/2003,8.7334
12/22/2003,8.84
12/23/2003,8.84
12/24/2003,8.81
12/25/2003,8.81
12/29/2003,8.81
12/30/2003,8.76
12/31/2003,8.74
1/1/2004,8.74
1/2/2004,8.5795
1/5/2004,8.7201
1/6/2004,8.6382
1/7/2004,8.7011
1/8/2004,8.6441
1/9/2004,8.4654
1/12/2004,8.5951
1/13/2004,8.6481
1/14/2004,8.6699
1/15/2004,8.6699
1/16/2004,8.83
1/19/2004,8.85
1/20/2004,8.6024
1/21/2004,8.7
1/22/2004,8.7
1/23/2004,8.7021
1/26/2004,8.7605
1/27/2004,8.7471
1/28/2004,8.78
1/29/2004,8.82
1/30/2004,8.6918
2/2/2004,8.81
2/3/2004,8.7514
2/4/2004,8.7711
2/5/2004,8.752
2/6/2004,8.5404
2/9/2004,8.6804
2/10/2004,8.665
2/11/2004,8.62
2/12/2004,8.6229
2/13/2004,8.5001
2/16/2004,8.6721
2/17/2004,8.6721
2/18/2004,8.5737
2/19/2004,8.6924
2/20/2004,8.5929
2/23/2004,8.7392
2/24/2004,8.6781
2/25/2004,8.6227
2/26/2004,8.7941
2/27/2004,8.8211
3/1/2004,8.7781
3/2/2004,8.95
3/3/2004,8.9611
3/4/2004,8.9751
3/5/2004,8.7067
3/8/2004,8.87
3/9/2004,8.81
3/10/2004,8.935
3/11/2004,8.966
3/12/2004,8.9361
3/15/2004,8.926
3/16/2004,8.88
3/17/2004,8.93
3/18/2004,8.851
3/19/2004,8.737001
3/22/2004,8.858
3/23/2004,8.911
3/24/2004,9.004
3/25/2004,9.017
3/26/2004,8.979
3/29/2004,8.993
3/30/2004,8.993
3/31/2004,8.914
4/1/2004,8.8806
4/2/2004,8.9881
4/5/2004,8.9153
4/6/2004,9.039
4/7/2004,8.971
4/8/2004,9.021
4/9/2004,9.021
4/13/2004,9.127
4/14/2004,9.129
4/15/2004,9.12
4/16/2004,9.05
4/19/2004,9.047
4/20/2004,9.1241
4/21/2004,9.1972
4/22/2004,9.16
4/23/2004,9.1488
4/26/2004,9.213
4/27/2004,9.18
4/28/2004,9.14
4/29/2004,9.211
4/30/2004,8.9299
5/3/2004,9.115
5/4/2004,9.12
5/5/2004,9.02
5/6/2004,8.993
5/7/2004,9.148
5/10/2004,9.19
5/11/2004,9.167
5/12/2004,9.164
5/13/2004,9.19
5/14/2004,9.1645
5/17/2004,9.115
5/18/2004,9.11
5/19/2004,9.073
5/20/2004,9.141
5/21/2004,9.055
5/24/2004,9.129
5/25/2004,9.066
5/26/2004,8.8584
5/27/2004,8.93
5/28/2004,8.8109
5/31/2004,8.95
6/1/2004,8.941
6/2/2004,8.9405
6/3/2004,8.9808
6/4/2004,8.9372
6/7/2004,8.902
6/8/2004,8.927
6/9/2004,8.996
6/10/2004,9.063
6/11/2004,9.088
6/14/2004,9.064
6/15/2004,9.015
6/16/2004,9.058
6/17/2004,9.085
6/18/2004,8.9959
6/21/2004,9.017
6/22/2004,9.017
6/23/2004,8.975
6/24/2004,8.998
6/25/2004,8.992
6/28/2004,9.005
6/29/2004,9.008
6/30/2004,8.979
7/1/2004,8.978
7/2/2004,8.8899
7/5/2004,8.897
7/6/2004,8.906
7/7/2004,8.873
7/8/2004,8.874
7/9/2004,8.86
7/12/2004,8.848
7/13/2004,8.874
7/14/2004,8.894
7/15/2004,8.871
7/16/2004,8.6532
7/19/2004,8.842
7/20/2004,8.864
7/21/2004,8.915
7/22/2004,8.93
7/23/2004,8.9915
7/26/2004,9.019
7/27/2004,9.053
7/28/2004,9.054
7/29/2004,9.055
7/30/2004,9.0579
8/2/2004,9.052
8/3/2004,9.052
8/4/2004,9.083
8/5/2004,9.06
8/6/2004,8.939
8/9/2004,8.93
8/10/2004,8.924
8/11/2004,8.966
8/12/2004,8.95
8/13/2004,8.88
8/16/2004,8.889
8/17/2004,8.886
8/18/2004,8.89
8/19/2004,8.891
8/20/2004,8.891
8/23/2004,8.917
8/24/2004,9.001
8/25/2004,9.05
8/26/2004,9.049
8/27/2004,9.049
8/30/2004,9.049
8/31/2004,9.049
9/1/2004,8.99
9/2/2004,8.989
9/3/2004,9.0275
9/6/2004,9.059
9/7/2004,9.046
9/8/2004,9.054
9/9/2004,8.983
9/10/2004,8.917
9/13/2004,8.941
9/14/2004,8.93
9/15/2004,8.947
9/16/2004,8.993
9/17/2004,8.993
9/20/2004,9.008
9/21/2004,8.952
9/22/2004,8.952
9/23/2004,8.937
9/24/2004,8.937
9/27/2004,8.91
9/28/2004,8.922
9/29/2004,8.896
9/30/2004,8.833
10/1/2004,8.851
10/4/2004,8.934
10/5/2004,8.929
10/6/2004,8.932
