Date,Close
12/1/2003,2.48552361
12/2/2003,2.482391376
12/3/2003,2.461555205
12/4/2003,2.455835472
12/5/2003,2.446483938
12/8/2003,2.4456669
12/9/2003,2.437796101
12/10/2003,2.439865931
12/11/2003,2.4456669
12/12/2003,2.44294344
12/15/2003,2.424077336
12/16/2003,2.423198357
12/17/2003,2.410261923
12/18/2003,2.404815003
12/19/2003,2.378506381
12/22/2003,2.407472958
12/23/2003,2.407472958
12/24/2003,2.399564194
12/25/2003,2.399564194
12/29/2003,2.399237431
12/30/2003,2.385945782
12/31/2003,2.380498417
1/1/2004,2.380498417
1/2/2004,2.336465101
1/5/2004,2.375078289
1/6/2004,2.35277133
1/7/2004,2.369903293
1/8/2004,2.354378303
1/9/2004,2.305706098
1/12/2004,2.341032259
1/13/2004,2.355467776
1/14/2004,2.361405403
1/15/2004,2.361083837
1/16/2004,2.404684054
1/19/2004,2.410458924
1/20/2004,2.342701484
1/21/2004,2.369603688
1/22/2004,2.369603688
1/23/2004,2.3698529
1/26/2004,2.386081966
1/27/2004,2.382432232
1/28/2004,2.391393147
1/29/2004,2.402156988
1/30/2004,2.367370268
2/2/2004,2.399564194
2/3/2004,2.383603415
2/4/2004,2.388969069
2/5/2004,2.383766836
2/6/2004,2.326133716
2/9/2004,2.36426527
2/10/2004,2.360070799
2/11/2004,2.347814228
2/12/2004,2.348284273
2/13/2004,2.315157276
2/16/2004,2.362004614
2/17/2004,2.362004614
2/18/2004,2.335203579
2/19/2004,2.367533689
2/20/2004,2.340050579
2/23/2004,2.380280523
2/24/2004,2.363638823
2/25/2004,2.348549623
2/26/2004,2.395233539
2/27/2004,2.402587481
3/1/2004,2.390875647
3/2/2004,2.437695748
3/3/2004,2.440719035
3/4/2004,2.44453219
3/5/2004,2.371041019
3/8/2004,2.415906288
3/9/2004,2.399564194
3/10/2004,2.433610224
3/11/2004,2.441787618
3/12/2004,2.433909829
3/15/2004,2.43115891
3/16/2004,2.418629971
3/17/2004,2.432248383
3/18/2004,2.410731292
3/19/2004,2.379292701
3/22/2004,2.412637869
3/23/2004,2.427073386
3/24/2004,2.452403632
3/25/2004,2.45594442
3/26/2004,2.445261395
3/29/2004,2.449407582
3/30/2004,2.449407582
3/31/2004,2.427890491
4/1/2004,2.418793392
4/2/2004,2.448072977
4/5/2004,2.42824457
4/6/2004,2.461936521
4/7/2004,2.443415481
4/8/2004,2.457033893
4/9/2004,2.457033893
4/13/2004,2.485904926
4/14/2004,2.486449662
4/15/2004,2.483998348
4/16/2004,2.464932572
4/19/2004,2.463914081
4/20/2004,2.485115058
4/21/2004,2.505025176
4/22/2004,2.494553334
4/23/2004,2.491842554
4/26/2004,2.509328595
4/27/2004,2.500340443
4/28/2004,2.489445713
4/29/2004,2.508783858
4/30/2004,2.432088626
5/3/2004,2.482298432
5/4/2004,2.483660088
5/5/2004,2.456426973
5/6/2004,2.449407582
5/7/2004,2.491217482
5/10/2004,2.502723268
5/11/2004,2.496459652
5/12/2004,2.495642658
5/13/2004,2.502723268
5/14/2004,2.496118735
5/17/2004,2.482636507
5/18/2004,2.480936776
5/19/2004,2.470860523
5/20/2004,2.489718081
5/21/2004,2.465958563
5/24/2004,2.486111068
5/25/2004,2.468954205
5/26/2004,2.412418259
5/27/2004,2.431917169
5/28/2004,2.399482529
5/31/2004,2.437695748
6/1/2004,2.434912812
6/2/2004,2.434776646
6/3/2004,2.445751591
6/4/2004,2.434209434
6/7/2004,2.424291897
6/8/2004,2.431100176
6/9/2004,2.449891025
6/10/2004,2.468137212
6/11/2004,2.474945491
6/14/2004,2.468745727
6/15/2004,2.455399683
6/16/2004,2.466775556
6/17/2004,2.474128497
6/18/2004,2.449863792
6/21/2004,2.45594442
6/22/2004,2.455609979
6/23/2004,2.444172071
6/24/2004,2.450435687
6/25/2004,2.4488017
6/28/2004,2.452676001
6/29/2004,2.453359427
6/30/2004,2.44532802
7/1/2004,2.444989064
7/2/2004,2.421326416
7/5/2004,2.422930241
7/6/2004,2.425381221
7/7/2004,2.416723393
7/8/2004,2.416798226
7/9/2004,2.412985382
7/12/2004,2.409651667
7/13/2004,2.416798226
7/14/2004,2.422179241
7/15/2004,2.415849631
7/16/2004,2.356600113
7/19/2004,2.408279978
7/20/2004,2.413943313
7/21/2004,2.427832202
7/22/2004,2.431917169
7/23/2004,2.448665535
7/26/2004,2.456489156
7/27/2004,2.4654139
7/28/2004,2.465820502
7/29/2004,2.466025751
7/30/2004,2.467084281
8/2/2004,2.465208735
8/3/2004,2.465141569
8/4/2004,2.473651231
8/5/2004,2.467320219
8/6/2004,2.434699697
8/9/2004,2.431917169
8/10/2004,2.430283182
8/11/2004,2.44172109
8/12/2004,2.437363792
8/13/2004,2.418168921
8/16/2004,2.421081285
8/17/2004,2.42026418
8/18/2004,2.421353653
8/19/2004,2.421362225
8/20/2004,2.421428108
8/23/2004,2.428707596
8/24/2004,2.45151974
8/25/2004,2.464932572
8/26/2004,2.464391719
8/27/2004,2.464324576
8/30/2004,2.464391719
8/31/2004,2.464324576
9/1/2004,2.44839036
9/2/2004,2.448118014
9/3/2004,2.458804286
9/6/2004,2.467182232
9/7/2004,2.463641735
9/8/2004,2.465686232
9/9/2004,2.44635072
9/10/2004,2.428707596
9/13/2004,2.434979154
9/14/2004,2.432248383
9/15/2004,2.436546799
9/16/2004,2.449207398
9/17/2004,2.449074031
9/20/2004,2.453158999
9/21/2004,2.437974878
9/22/2004,2.437974878
9/23/2004,2.4338898
9/24/2004,2.43415496
9/27/2004,2.426801018
9/28/2004,2.430069437
